key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
#,Icon[0],Icon[1],Icon[2],Icon[3],Icon[4],Icon[5],Icon[6],Icon[7],Icon[8],Icon[9],Icon[10],Icon[11],Icon[12],Icon[13],Icon[14],Icon[15]
int32,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,60091,60922,60915,60935,60911,60913,60931,60933,60932,60955,0,60412,60413,0,0,0
10,60941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,60901,60921,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,60914,60904,60924,60903,60923,0,0,0,0,0,0,0,0,0,0,0
45,60943,60944,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,60094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60905,60925,60945,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
